chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index,
None, None, 71738, 0, 0, -4, 4, 0, 3, -0.3, -0.8, 1, Marco, 0.2, 285, False, , None, 51, 71738.jpg, 1.4, Stiepermann, 0.1, False, None, a, 14, 45, 24, 5970, 19, 11468, 65, 0.0, 4.7, Stiepermann, 919, 0, 0, 1, 24, 0, 0, 0, 4, 0, 0, 0, 75, 91.6, 154.4, 255.0, 50.2, 
100, 100, 78607, 0, 0, -1, 1, 0, 3, 1.7, 1.2, 2, Kenny, 2.2, 286, False, , 2020-01-24T15:00:18.009033Z, 49, 78607.jpg, 2.2, McLean, 0.2, False, None, a, 14, 45, 50, 11632, 102, 16470, 215, 0.4, 10.2, McLean, 1838, 1, 1, 3, 40, 0, 0, 0, 4, 0, 0, 0, 273, 322.0, 295.5, 204.0, 82.0, 
75, 100, 193111, 0, 0, 5, -5, 2, 3, 2.6, 3.0, 1, Todd, 4.0, 287, False, Hamstring injury - 75% chance of playing, 2020-01-24T15:00:18.019788Z, 50, 193111.jpg, 3.8, Cantwell, 22.6, False, None, d, 14, 45, 90, 3391516, 18891, 1945482, 133951, 0.8, 18.0, Cantwell, 1716, 6, 2, 4, 36, 0, 0, 0, 3, 0, 0, 10, 326, 428.6, 349.1, 590.0, 136.1, 
100, 100, 87396, 0, 0, -2, 2, 0, 3, -0.5, -1.0, 0, Moritz, 0.0, 288, False, , 2019-09-13T13:30:19.474643Z, 43, 87396.jpg, 1.8, Leitner, 0.2, False, None, a, 14, 45, 16, 22448, 611, 29548, 599, 0.0, 3.7, Leitner, 683, 0, 0, 1, 16, 0, 0, 0, 1, 0, 0, 0, 102, 106.8, 127.7, 53.0, 28.8, 
100, 100, 18665, 0, 0, 0, 0, 0, 3, 1.5, 1.0, 2, Alexander, 2.0, 289, False, , 2019-11-29T13:30:22.939718Z, 45, 18665.jpg, 2.4, Tettey, 0.3, False, None, a, 14, 45, 43, 41696, 602, 33685, 1390, 0.4, 9.6, Tettey, 1369, 1, 1, 3, 25, 0, 0, 0, 4, 0, 0, 3, 244, 231.4, 96.2, 106.0, 43.4, 
100, 100, 90440, 0, 0, -1, 1, 0, 3, -0.5, -1.0, 0, Tom, 0.0, 290, False, , 2019-09-04T09:00:11.384947Z, 44, 90440.jpg, 1.8, Trybull, 0.6, False, None, a, 14, 45, 25, 46887, 66, 73140, 484, 0.0, 5.7, Trybull, 1022, 0, 0, 2, 21, 0, 0, 0, 2, 0, 0, 0, 161, 184.6, 44.0, 90.0, 32.0, 
100, 100, 81048, 0, 0, -2, 2, 0, 4, 0.0, -0.5, 1, Josip, 0.5, 434, False, , 2019-11-11T12:00:15.065845Z, 53, 81048.jpg, 1.4, Drmic, 0.1, False, None, a, 14, 45, 14, 4990, 91, 14259, 58, 0.1, 2.6, Drmic, 124, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 42, 35.6, 8.1, 42.0, 8.4, 
0, 0, 124165, 0, 0, -4, 4, 0, 3, 0.0, 0.0, 0, Patrick, 0.0, 435, False, Joined Middlesbrough on loan until the end of the season on 2/1. - Expected back 01 Jul, 2020-01-02T20:30:19.362679Z, 51, 124165.jpg, 1.0, Roberts, 0.0, False, None, n, 14, 45, 3, 1516, 8, 7594, 61, 0.0, 0.6, Roberts, 24, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 4.4, 0.6, 0.0, 0.5, 
100, 0, 28082, 0, 0, -1, 1, 0, 1, -0.5, 0.0, 0, Ralf, 0.0, 449, False, , 2020-01-21T14:00:15.835871Z, 44, 28082.jpg, 1.0, Fahrmann, 0.3, False, None, a, 14, 45, 1, 4945, 43, 25999, 289, 0.0, 0.2, Fahrmann, 21, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 6, 4.0, 0.0, 0.0, 0.4, 
None, None, 113564, 0, 0, -1, 1, 0, 2, 2.3, 1.8, 1, Sam, 2.8, 454, False, , None, 44, 113564.jpg, 1.7, Byram, 0.1, False, None, a, 14, 45, 25, 6053, 154, 9657, 156, 0.6, 5.7, Byram, 1176, 0, 0, 2, 23, 0, 0, 0, 4, 0, 0, 2, 180, 260.4, 103.7, 149.0, 51.4, 
