chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index,
100, 100, 69140, 0, 0, -3, 3, 0, 2, 1.3, 0.3, 0, Shkodran, 0.8, 1, False, , 2019-11-28T23:00:21.541666Z, 52, 69140.jpg, 4.0, Mustafi, 0.3, False, None, a, 1, 3, 4, 7813, 98, 32057, 245, 0.2, 0.8, Mustafi, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 24, 19.8, 0.8, 54.0, 7.5, 
0, 75, 98745, 0, 0, -1, 1, 0, 2, 0.0, -0.2, 0, Héctor, 0.2, 2, False, Hamstring injury - Expected back 21 Dec, 2019-12-09T20:00:21.228098Z, 54, 98745.jpg, 0.3, Bellerín, 0.3, False, None, i, 1, 3, 1, 34606, 31, 33437, 1366, 0.0, 0.2, Bellerín, 262, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 26, 30.8, 22.7, 15.0, 6.9, 
75, 100, 111457, 0, 0, -3, 3, 0, 2, 1.6, 1.1, 0, Sead, 1.6, 3, False, Ankle injury - 75% chance of playing, 2019-12-15T19:30:19.136195Z, 52, 111457.jpg, 1.9, Kolasinac, 0.6, False, None, d, 1, 3, 27, 46912, 321, 108932, 1523, 0.3, 5.2, Kolasinac, 928, 0, 2, 1, 17, 0, 0, 0, 2, 0, 0, 1, 196, 174.4, 149.6, 55.0, 37.8, 
100, 100, 154043, 0, 0, -4, 4, 1, 2, 1.1, 0.1, 1, Ainsley, 0.6, 4, False, , 2019-09-22T18:00:10.824841Z, 46, 154043.jpg, 2.5, Maitland-Niles, 2.6, False, None, a, 1, 3, 20, 546313, 759, 566642, 2397, 0.1, 4.3, Maitland-Niles, 670, 0, 2, 1, 14, 0, 0, 0, 0, 1, 0, 3, 124, 173.0, 127.9, 33.0, 32.9, 
0, None, 39476, 0, 0, -1, 1, 0, 2, 0.0, -0.1, 0, Sokratis, 0.4, 5, False, Suspended until 26 Dec, 2019-12-15T19:30:19.149412Z, 49, 39476.jpg, 2.2, Papastathopoulos, 1.5, False, None, s, 1, 3, 33, 107353, 285, 142975, 5033, 0.1, 6.7, Sokratis, 1350, 1, 0, 2, 23, 0, 0, 0, 5, 0, 0, 2, 224, 340.2, 30.7, 71.0, 44.3, 
0, 0, 38411, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Nacho, 0.0, 6, False, Joined Real Sociedad on a permanent deal on 31/8, 2019-08-31T11:30:14.661839Z, 50, 38411.jpg, 3.3, Monreal, 0.3, False, None, u, 1, 3, 10, 28034, 7, 87828, 106, 0.0, 2.0, Monreal, 270, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 54, 47.2, 40.8, 12.0, 10.0, 
0, 0, 51507, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Laurent, 0.0, 7, False, Joined Bordeaux on a permanent deal on 6/8., 2019-08-08T11:00:09.045030Z, 50, 51507.jpg, 0.0, Koscielny, 0.1, False, None, u, 1, 3, 0, 480, 8, 12434, 22, 0.0, 0.0, Koscielny, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 233963, 0, 0, -1, 1, 0, 2, 0.5, -0.5, 0, Konstantinos, 0.0, 8, False, , 2019-08-09T09:30:11.868345Z, 44, 233963.jpg, 0.0, Mavropanos, 0.0, False, None, a, 1, 3, 0, 762, 25, 4158, 55, 0.0, 0.0, Mavropanos, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 80254, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Carl, 0.0, 9, False, Joined Nottingham Forest on a permanent deal on 7/8., 2019-08-07T17:00:10.875251Z, 45, 80254.jpg, 0.0, Jenkinson, 0.0, False, None, u, 1, 3, 0, 329, 6, 2446, 11, 0.0, 0.0, Jenkinson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 156074, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Rob, 0.0, 10, False, Knee injury - Expected back 29 Dec, 2019-12-09T10:00:19.335279Z, 45, 156074.jpg, 1.0, Holding, 0.1, False, None, i, 1, 3, 1, 10324, 8, 12031, 374, 0.0, 0.2, Holding, 76, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 8.4, 0.4, 2.0, 1.1, 
None, None, 54694, 0, 0, -2, 2, 2, 4, 7.3, 6.3, 2, Pierre-Emerick, 6.8, 11, True, , None, 108, 54694.jpg, 6.1, Aubameyang, 19.2, False, None, a, 1, 3, 103, 1457930, 15581, 1974535, 35549, 0.6, 9.5, Aubameyang, 1530, 11, 3, 2, 27, 0, 0, 0, 2, 0, 0, 18, 390, 487.2, 258.7, 624.0, 136.8, 
100, 100, 59966, 0, 0, -2, 2, 1, 4, 4.7, 3.7, 0, Alexandre, 4.2, 12, False, , 2019-09-01T18:30:14.246208Z, 93, 59966.jpg, 4.7, Lacazette, 1.7, False, None, a, 1, 3, 47, 187751, 1100, 323678, 6302, 0.5, 5.1, Lacazette, 661, 5, 2, 0, 12, 0, 0, 0, 2, 0, 0, 6, 160, 237.8, 156.2, 411.0, 80.6, 
0, 0, 205533, 0, 0, -2, 2, 0, 4, 0.0, 0.0, 0, Edward, 0.0, 13, False, Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul, 2019-08-08T15:30:15.638344Z, 43, 205533.jpg, 0.0, Nketiah, 0.6, False, None, n, 1, 3, 0, 46182, 325, 110894, 1128, 0.0, 0.0, Nketiah, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
