chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
None, None, 80201, 0, 0, 0, 0, 0, 1, 3.5, 3.5, 1, Bernd, 3.0, 14, False, , None, 50, 80201.jpg, 3.0, Leno, 6.3, False, None, a, 1, 3, 30, 296758, 4018, 266839, 15435, 0.6, 6.0, Leno, 900, 0, 0, 2, 14, 0, 0, 0, 2, 0, 37, 1, 181, 237.0, 0.0, 0.0, 23.6, 
100, 100, 37605, 0, 0, -3, 3, 0, 3, 0.5, 0.5, 0, Mesut, 0.0, 15, False, , 2019-08-09T17:00:13.419733Z, 72, 37605.jpg, 2.0, Özil, 0.6, False, None, a, 1, 3, 2, 16182, 631, 89092, 1401, 0.0, 0.3, Özil, 70, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 6.4, 18.8, 2.0, 2.7, 
0, 0, 57249, 0, 0, -2, 2, 0, 3, 0.0, 0.0, 0, Henrikh, 0.0, 16, False, Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul, 2019-09-02T23:30:14.832021Z, 68, 57249.jpg, 1.3, Mkhitaryan, 0.9, False, None, n, 1, 3, 4, 22576, 14, 111397, 645, 0.0, 0.6, Mkhitaryan, 110, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 5.4, 33.9, 46.0, 8.6, 
100, 100, 84450, 0, 0, -2, 2, 0, 3, 3.3, 3.3, 5, Granit, 2.8, 18, False, , 2019-09-08T21:00:18.761460Z, 53, 84450.jpg, 2.1, Xhaka, 0.8, False, None, a, 1, 3, 19, 28742, 988, 83831, 1935, 0.5, 3.6, Xhaka, 739, 0, 1, 2, 13, 0, 0, 0, 4, 0, 0, 0, 102, 141.2, 104.1, 46.0, 29.2, 
100, 100, 198849, 0, 0, -2, 2, 0, 3, 1.0, 1.0, 0, Lucas, 0.5, 19, False, , 2019-09-08T21:00:18.773636Z, 48, 198849.jpg, 1.9, Torreira, 1.3, False, None, a, 1, 3, 13, 50012, 763, 111947, 3412, 0.1, 2.7, Torreira, 200, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 51, 75.4, 66.4, 97.0, 23.9, 
0, 0, 153256, 0, 0, -2, 2, 0, 3, 0.0, 0.0, 0, Mohamed, 0.0, 20, False, Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul, 2019-08-31T11:30:14.714406Z, 43, 153256.jpg, 0.0, Elneny, 0.8, False, None, n, 1, 3, 0, 82747, 5050, 60042, 4219, 0.0, 0.0, Elneny, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 242166, 0, 0, 2, -2, 0, 3, 2.5, 2.5, 1, Matteo, 2.0, 21, False, , None, 47, 242166.jpg, 2.7, Guendouzi, 10.6, False, None, a, 1, 3, 27, 725003, 15249, 409267, 36432, 0.4, 5.7, Guendouzi, 871, 0, 2, 2, 13, 0, 0, 0, 3, 0, 0, 2, 153, 183.4, 153.0, 101.0, 43.8, 
None, None, 41270, 0, 0, -2, 2, 1, 2, 7.0, 7.0, 7, David, 6.5, 106, False, , None, 58, 41270.jpg, 3.3, Luiz Moreira Marinho, 6.0, False, None, a, 1, 3, 30, 109312, 17491, 339435, 5896, 1.1, 5.2, David Luiz, 810, 2, 0, 1, 14, 0, 0, 0, 2, 0, 0, 3, 155, 252.0, 25.0, 93.0, 37.1, 
None, None, 98980, 0, 0, -1, 1, 0, 1, 0.5, 0.5, 0, Emiliano, 0.0, 427, False, , None, 44, 98980.jpg, 0.0, Martínez, 0.3, False, None, a, 1, 3, 0, 3635, 116, 9386, 297, 0.0, 0.0, Martínez, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 101184, 0, 0, -1, 1, 0, 2, 3.0, 3.0, 0, Calum, 2.5, 467, False, , None, 44, 101184.jpg, 3.8, Chambers, 1.6, False, None, a, 1, 3, 23, 106822, 4996, 64372, 4858, 0.6, 5.2, Chambers, 495, 1, 0, 2, 5, 0, 0, 0, 3, 0, 0, 2, 90, 110.0, 74.5, 114.0, 29.8, 
None, None, 182539, -1, 1, -1, 1, 1, 3, 2.3, 2.3, 2, Daniel, 1.8, 469, False, , None, 54, 182539.jpg, 2.5, Ceballos Fernández, 7.1, False, None, a, 1, 3, 25, 990255, 3372, 848058, 41763, 0.3, 4.6, Ceballos, 569, 0, 2, 1, 9, 0, 0, 0, 0, 0, 0, 3, 112, 124.4, 164.8, 76.0, 36.5, 
100, 100, 195735, 0, 0, -2, 2, 0, 3, 3.5, 3.5, 2, Nicolas, 3.0, 488, False, , 2019-08-09T09:30:12.533555Z, 93, 195735.jpg, 3.1, Pépé, 3.4, False, None, a, 1, 3, 31, 193468, 5988, 323644, 14467, 0.3, 3.3, Pépé, 726, 1, 2, 1, 13, 0, 0, 0, 1, 0, 0, 2, 115, 172.6, 279.2, 261.0, 71.5, 
0, 0, 200641, 0, 0, -2, 2, 0, 3, 0.0, 0.0, 0, Reiss, 0.2, 489, False, Knee injury - Expected back 23 Nov, 2019-10-07T15:00:21.389844Z, 53, 200641.jpg, 1.2, Nelson, 0.1, False, None, i, 1, 3, 5, 7277, 4, 13002, 330, 0.0, 0.9, Nelson, 150, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 15, 27.2, 50.3, 67.0, 14.5, 
100, 100, 200089, -1, 1, -1, 1, 0, 3, 1.3, 1.3, 0, Joseph, 0.8, 490, False, , 2019-09-07T11:30:17.190466Z, 49, 200089.jpg, 1.5, Willock, 0.2, False, None, a, 1, 3, 12, 21991, 199, 23833, 748, 0.2, 2.4, Willock, 351, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 50, 45.6, 91.4, 62.0, 19.9, 
None, None, 444145, 0, 0, 0, 0, 0, 4, 0.7, 0.7, 0, Gabriel Teodoro, 0.2, 504, False, , None, 45, 444145.jpg, 0.7, Martinelli Silva, 1.4, False, None, a, 1, 3, 2, 126561, 5427, 117028, 3848, 0.0, 0.4, Martinelli, 45, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5.4, 5.1, 14.0, 2.4, 
100, 100, 192895, 0, 0, -1, 1, 0, 2, 0.7, 0.7, 1, Kieran, 0.2, 515, False, , 2019-08-09T12:00:11.271398Z, 54, 192895.jpg, 1.0, Tierney, 1.0, False, None, a, 1, 3, 1, 57667, 4600, 47425, 2217, 0.0, 0.2, Tierney, 74, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 12.6, 16.3, 5.0, 3.4, 
100, 100, 223340, 0, 0, 0, 0, 0, 3, 3.0, 3.0, 1, Bukayo, 2.5, 541, False, , 2019-09-24T21:30:13.707726Z, 45, 223340.jpg, 2.2, Saka, 1.1, False, None, a, 1, 3, 11, 102074, 5242, 27667, 7295, 0.6, 2.4, Saka, 325, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 41, 60.4, 90.0, 86.0, 23.8, 
None, None, 37339, -1, 1, -3, 3, 0, 2, -1.5, -1.5, 0, Ahmed, 0.0, 22, False, , None, 42, 37339.jpg, 1.4, El Mohamady, 1.0, False, None, a, 2, 7, 7, 36030, 568, 104730, 2759, 0.0, 1.6, El Mohamady, 230, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 53, 61.0, 88.2, 2.0, 15.1, 
100, 100, 43252, 0, 0, -2, 2, 0, 2, -1.5, -1.5, 0, James, 0.0, 23, False, , 2019-08-08T17:00:13.859858Z, 43, 43252.jpg, 0.0, Chester, 0.1, False, None, a, 2, 7, 0, 300, 76, 5779, 55, 0.0, 0.0, Chester, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 47390, 0, 0, 0, 0, 0, 2, -1.5, -1.5, 0, Neil, 0.0, 24, False, , None, 45, 47390.jpg, 2.3, Taylor, 0.3, False, None, a, 2, 7, 16, 16462, 181, 16840, 1003, 0.0, 3.6, Taylor, 568, 0, 0, 2, 11, 0, 0, 0, 1, 0, 0, 0, 95, 90.8, 27.5, 26.0, 14.5, 
100, 100, 123354, -1, 1, -1, 1, 0, 2, -1.5, -1.5, 0, Kortney, 0.0, 25, False, , 2019-08-15T13:00:13.496241Z, 44, 123354.jpg, 0.0, Hause, 0.1, False, None, a, 2, 7, 0, 581, 30, 3259, 79, 0.0, 0.0, Hause, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
