chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index,
100, 100, 69140, 0, 0, -3, 3, 0, 2, 0.3, 1.3, 0, Shkodran, 0.8, 1, False, , 2019-11-28T23:00:21.541666Z, 52, 69140.jpg, 4.0, Mustafi, 0.3, False, None, a, 1, 3, 4, 7652, 57, 31513, 138, 0.2, 0.8, Mustafi, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 24, 19.8, 0.8, 54.0, 7.5, 
100, 100, 98745, 0, 0, -1, 1, 0, 2, -0.3, 0.7, 0, Héctor, 0.2, 2, False, , 2019-11-27T11:30:17.257265Z, 54, 98745.jpg, 0.3, Bellerín, 0.3, False, None, a, 1, 3, 1, 34453, 446, 29793, 496, 0.0, 0.2, Bellerín, 262, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 26, 30.8, 22.7, 15.0, 6.9, 
100, 100, 111457, 0, 0, -3, 3, 0, 2, 0.3, 1.3, 0, Sead, 0.8, 3, False, , 2019-11-21T14:30:19.207005Z, 52, 111457.jpg, 1.8, Kolasinac, 0.6, False, None, a, 1, 3, 22, 45281, 133, 106169, 547, 0.2, 4.2, Kolasinac, 828, 0, 1, 1, 13, 0, 0, 0, 2, 0, 0, 1, 165, 145.0, 133.2, 51.0, 32.8, 
100, 100, 154043, 0, 0, -4, 4, 1, 2, -0.5, 0.5, 0, Ainsley, 0.0, 4, False, , 2019-09-22T18:00:10.824841Z, 46, 154043.jpg, 2.8, Maitland-Niles, 2.7, False, None, a, 1, 3, 17, 544743, 109, 559965, 2527, 0.0, 3.7, Maitland-Niles, 490, 0, 2, 1, 10, 0, 0, 0, 0, 1, 0, 3, 92, 136.4, 108.2, 31.0, 27.1, 
None, None, 39476, 0, 0, -1, 1, 0, 2, -0.5, 0.5, 0, Sokratis, 0.0, 5, False, , None, 49, 39476.jpg, 2.4, Papastathopoulos, 1.6, False, None, a, 1, 3, 31, 106457, 214, 134174, 1835, 0.0, 6.3, Sokratis, 1170, 1, 0, 2, 19, 0, 0, 0, 4, 0, 0, 2, 205, 307.4, 30.1, 71.0, 40.9, 
0, 0, 38411, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Nacho, 0.0, 6, False, Joined Real Sociedad on a permanent deal on 31/8, 2019-08-31T11:30:14.661839Z, 50, 38411.jpg, 3.3, Monreal, 0.3, False, None, u, 1, 3, 10, 28012, 3, 87533, 110, 0.0, 2.0, Monreal, 270, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 54, 47.2, 40.8, 12.0, 10.0, 
0, 0, 51507, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Laurent, 0.0, 7, False, Joined Bordeaux on a permanent deal on 6/8., 2019-08-08T11:00:09.045030Z, 50, 51507.jpg, 0.0, Koscielny, 0.1, False, None, u, 1, 3, 0, 463, 5, 12377, 11, 0.0, 0.0, Koscielny, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 233963, 0, 0, -1, 1, 0, 2, -0.5, 0.5, 0, Konstantinos, 0.0, 8, False, , 2019-08-09T09:30:11.868345Z, 44, 233963.jpg, 0.0, Mavropanos, 0.0, False, None, a, 1, 3, 0, 690, 13, 4047, 26, 0.0, 0.0, Mavropanos, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 80254, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Carl, 0.0, 9, False, Joined Nottingham Forest on a permanent deal on 7/8., 2019-08-07T17:00:10.875251Z, 45, 80254.jpg, 0.0, Jenkinson, 0.0, False, None, u, 1, 3, 0, 297, 9, 2410, 8, 0.0, 0.0, Jenkinson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
75, 100, 156074, 0, 0, 0, 0, 0, 2, -0.3, 0.7, 0, Rob, 0.2, 10, False, Knee injury - 75% chance of playing, 2019-12-09T10:00:19.335279Z, 45, 156074.jpg, 1.0, Holding, 0.1, False, None, d, 1, 3, 1, 10288, 90, 10956, 164, 0.0, 0.2, Holding, 76, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 8.4, 0.4, 2.0, 1.1, 
None, None, 54694, 0, 0, -1, 1, 2, 4, 3.9, 4.9, 0, Pierre-Emerick, 4.4, 11, False, , None, 109, 54694.jpg, 5.9, Aubameyang, 20.7, False, None, a, 1, 3, 89, 1432307, 2178, 1830993, 81284, 0.4, 8.2, Aubameyang, 1350, 10, 2, 2, 23, 0, 0, 0, 2, 0, 0, 15, 342, 433.4, 232.3, 575.0, 124.0, 
100, 100, 59966, 0, 0, -2, 2, 1, 4, 4.1, 5.1, 0, Alexandre, 4.6, 12, False, , 2019-09-01T18:30:14.246208Z, 93, 59966.jpg, 4.7, Lacazette, 2.2, False, None, a, 1, 3, 47, 185834, 904, 287010, 8634, 0.5, 5.1, Lacazette, 661, 5, 2, 0, 12, 0, 0, 0, 2, 0, 0, 6, 160, 237.8, 156.2, 411.0, 80.6, 
0, 0, 205533, 0, 0, -2, 2, 0, 4, 0.0, 0.0, 0, Edward, 0.0, 13, False, Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul, 2019-08-08T15:30:15.638344Z, 43, 205533.jpg, 0.0, Nketiah, 0.6, False, None, n, 1, 3, 0, 45368, 297, 108121, 998, 0.0, 0.0, Nketiah, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 80201, 0, 0, 0, 0, 0, 1, 2.9, 3.9, 0, Bernd, 3.4, 14, False, , None, 50, 80201.jpg, 3.4, Leno, 5.7, False, None, a, 1, 3, 51, 344192, 1084, 356566, 7121, 0.7, 10.2, Leno, 1350, 0, 0, 2, 23, 0, 1, 0, 2, 0, 66, 3, 301, 474.2, 0.0, 0.0, 47.3, 
100, 100, 37605, 0, 0, -3, 3, 0, 3, 2.5, 3.5, 0, Mesut, 3.0, 15, False, , 2019-08-09T17:00:13.419733Z, 72, 37605.jpg, 3.2, Özil, 0.9, False, None, a, 1, 3, 19, 47773, 729, 105500, 1612, 0.4, 2.6, Özil, 518, 0, 2, 0, 10, 0, 0, 0, 0, 0, 0, 1, 100, 84.6, 259.5, 88.0, 43.2, 
0, 0, 57249, 0, 0, -2, 2, 0, 3, 0.0, 0.0, 0, Henrikh, 0.0, 16, False, Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul, 2019-09-02T23:30:14.832021Z, 68, 57249.jpg, 1.3, Mkhitaryan, 0.8, False, None, n, 1, 3, 4, 22704, 11, 113968, 153, 0.0, 0.6, Mkhitaryan, 110, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 5.4, 33.9, 46.0, 8.6, 
100, 100, 84450, -1, 1, -4, 4, 0, 3, 0.3, 1.3, 0, Granit, 0.8, 18, False, , 2019-09-08T21:00:18.761460Z, 51, 84450.jpg, 2.1, Xhaka, 0.6, False, None, a, 1, 3, 23, 31642, 139, 95692, 397, 0.2, 4.5, Xhaka, 919, 0, 1, 2, 17, 0, 0, 0, 4, 0, 0, 0, 135, 181.2, 131.2, 46.0, 35.9, 
100, 100, 198849, 0, 0, -3, 3, 0, 3, 0.7, 1.7, 0, Lucas, 1.2, 19, False, , 2019-09-08T21:00:18.773636Z, 47, 198849.jpg, 1.8, Torreira, 1.2, False, None, a, 1, 3, 22, 60354, 475, 128804, 1034, 0.3, 4.7, Torreira, 543, 1, 0, 1, 10, 0, 0, 0, 1, 0, 0, 0, 90, 111.4, 87.5, 145.0, 34.5, 
0, 0, 153256, 0, 0, -2, 2, 0, 3, 0.0, 0.0, 0, Mohamed, 0.0, 20, False, Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul, 2019-08-31T11:30:14.714406Z, 43, 153256.jpg, 0.0, Elneny, 0.9, False, None, n, 1, 3, 0, 115700, 1236, 88775, 1717, 0.0, 0.0, Elneny, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 242166, -1, 1, 0, 0, 0, 3, 0.5, 1.5, 0, Matteo, 1.0, 21, False, , None, 45, 242166.jpg, 2.4, Guendouzi, 8.1, False, None, a, 1, 3, 34, 806931, 2421, 658902, 12916, 0.2, 7.6, Guendouzi, 1218, 0, 2, 2, 20, 0, 0, 0, 4, 0, 0, 2, 207, 267.4, 213.6, 126.0, 60.8, 
100, 100, 41270, 0, 0, -2, 2, 1, 2, 0.1, 1.1, 0, David, 0.6, 106, False, , 2019-11-28T23:00:21.861570Z, 58, 41270.jpg, 2.5, Luiz Moreira Marinho, 5.2, False, None, a, 1, 3, 35, 148955, 776, 434299, 4329, 0.1, 6.0, David Luiz, 1260, 2, 0, 1, 23, 0, 0, 0, 3, 0, 0, 3, 217, 352.6, 55.5, 123.0, 53.2, 
None, None, 98980, 0, 0, -1, 1, 0, 1, -0.5, 0.5, 0, Emiliano, 0.0, 427, False, , None, 44, 98980.jpg, 0.0, Martínez, 0.3, False, None, a, 1, 3, 0, 4320, 36, 11383, 113, 0.0, 0.0, Martínez, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 101184, 0, 0, -1, 1, 0, 2, -0.1, 0.9, 0, Calum, 0.4, 467, False, , None, 44, 101184.jpg, 2.7, Chambers, 1.4, False, None, a, 1, 3, 27, 133904, 285, 111148, 2727, 0.1, 6.1, Chambers, 810, 1, 0, 2, 11, 0, 0, 0, 4, 0, 0, 2, 127, 175.4, 92.2, 193.0, 45.9, 
