chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index,
100, 50, 69140, 0, 0, -4, 4, 0, 2, 3.7, 1.9, 6, Shkodran, 3.2, 1, False, , 2020-01-27T22:30:15.833744Z, 51, 69140.jpg, 3.2, Mustafi, 0.3, False, None, a, 1, 3, 19, 9511, 146, 34602, 147, 0.6, 3.7, Mustafi, 440, 0, 2, 1, 7, 0, 0, 0, 0, 0, 0, 1, 101, 128.8, 13.2, 79.0, 22.2, 
100, 100, 98745, 0, 0, -1, 1, 0, 2, 4.5, 4.5, 8, Héctor, 4.0, 2, False, , 2019-12-09T20:00:21.228098Z, 54, 98745.jpg, 3.4, Bellerín, 0.6, False, None, a, 1, 3, 17, 63034, 4457, 41860, 522, 0.7, 3.1, Bellerín, 442, 1, 0, 1, 8, 0, 0, 0, 2, 0, 0, 3, 81, 103.8, 28.1, 28.0, 16.1, 
50, 50, 111457, 0, 0, -3, 3, 0, 2, 0.5, 0.5, 0, Sead, 0.5, 3, False, Thigh injury - 50% chance of playing, 2020-01-15T13:30:21.603499Z, 52, 111457.jpg, 2.1, Kolasinac, 0.5, False, None, d, 1, 3, 34, 55173, 14, 125337, 195, 0.1, 6.5, Kolasinac, 1086, 0, 2, 2, 18, 0, 0, 0, 3, 0, 0, 1, 219, 190.0, 156.3, 67.0, 41.2, 
100, 100, 154043, 0, 0, -4, 4, 1, 2, 1.3, 1.3, 0, Ainsley, 0.8, 4, False, , 2019-09-22T18:00:10.824841Z, 46, 154043.jpg, 2.6, Maitland-Niles, 2.5, False, None, a, 1, 3, 36, 588682, 322, 608552, 2131, 0.2, 7.8, Maitland-Niles, 1210, 0, 2, 3, 19, 0, 0, 0, 3, 1, 0, 3, 216, 261.8, 155.4, 37.0, 44.9, 
100, 100, 39476, 0, 0, -1, 1, 1, 2, 1.0, 1.0, 0, Sokratis, 0.5, 5, False, , 2020-01-18T17:00:22.046513Z, 49, 39476.jpg, 2.9, Papastathopoulos, 1.4, False, None, a, 1, 3, 52, 142565, 496, 181902, 977, 0.1, 10.6, Sokratis, 1606, 2, 0, 3, 25, 0, 0, 0, 5, 0, 0, 5, 286, 431.6, 31.8, 106.0, 57.1, 
0, 0, 38411, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Nacho, 0.0, 6, False, Joined Real Sociedad on a permanent deal on 31/8, 2019-08-31T11:30:14.661839Z, 50, 38411.jpg, 3.3, Monreal, 0.2, False, None, u, 1, 3, 10, 28131, 8, 88758, 36, 0.0, 2.0, Monreal, 270, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 54, 47.2, 40.8, 12.0, 10.0, 
0, 0, 51507, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Laurent, 0.0, 7, False, Joined Bordeaux on a permanent deal on 6/8., 2019-08-08T11:00:09.045030Z, 50, 51507.jpg, 0.0, Koscielny, 0.1, False, None, u, 1, 3, 0, 594, 8, 12668, 8, 0.0, 0.0, Koscielny, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 233963, 0, 0, -1, 1, 0, 2, 0.0, 0.0, 0, Konstantinos, 0.0, 8, False, Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul, 2020-01-13T14:30:21.309535Z, 44, 233963.jpg, 0.0, Mavropanos, 0.0, False, None, n, 1, 3, 0, 1080, 2, 4764, 22, 0.0, 0.0, Mavropanos, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 80254, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Carl, 0.0, 9, False, Joined Nottingham Forest on a permanent deal on 7/8., 2019-08-07T17:00:10.875251Z, 45, 80254.jpg, 0.0, Jenkinson, 0.0, False, None, u, 1, 3, 0, 410, 2, 2568, 7, 0.0, 0.0, Jenkinson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
100, 100, 156074, 0, 0, 0, 0, 0, 2, 0.7, 0.7, 0, Rob, 0.2, 10, False, , 2019-12-09T10:00:19.335279Z, 45, 156074.jpg, 1.0, Holding, 0.1, False, None, a, 1, 3, 2, 11730, 60, 14105, 80, 0.0, 0.4, Holding, 85, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 13, 13.4, 0.4, 2.0, 1.6, 
