event_name, difficulty
Gameweek 8,2
Gameweek 9,4
Gameweek 10,2
Gameweek 11,2
Gameweek 12,2
Gameweek 13,4
Gameweek 14,4
Gameweek 15,3
Gameweek 16,4
Gameweek 17,2
Gameweek 18,4
Gameweek 19,2
Gameweek 20,3
Gameweek 21,2
Gameweek 22,2
Gameweek 23,2
Gameweek 24,3
Gameweek 25,2
Gameweek 26,5
Gameweek 27,5
Gameweek 28,2
Gameweek 29,4
Gameweek 30,2
Gameweek 31,4
Gameweek 32,4
Gameweek 33,2
Gameweek 34,2
Gameweek 35,3
Gameweek 36,2
Gameweek 37,4
Gameweek 38,2
