season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2016/17, 206325, 55, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2017/18, 206325, 50, 50, 16, 530, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 104, 116.4, 145.9, 21.0, 28.3, 
2018/19, 206325, 50, 47, 44, 1151, 0, 3, 9, 4, 0, 0, 0, 1, 0, 0, 1, 230, 279.2, 278.6, 77.0, 63.5, 
