season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2017/18, 233963, 45, 42, 4, 194, 0, 0, 1, 5, 0, 0, 0, 0, 1, 0, 0, 41, 52.2, 1.3, 2.0, 5.5, 
2018/19, 233963, 50, 47, 3, 147, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 28, 27.0, 14.1, 10.0, 5.2, 
