season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2015/16, 56983, 60, 51, 119, 2975, 4, 8, 6, 58, 0, 0, 0, 5, 0, 0, 5, 486, 0.0, 0.0, 0.0, 0.0, 
2017/18, 56983, 60, 54, 116, 2802, 3, 7, 9, 35, 0, 0, 0, 6, 0, 0, 10, 489, 561.2, 844.4, 520.0, 192.6, 
2018/19, 56983, 60, 58, 110, 2927, 2, 8, 10, 40, 0, 0, 1, 9, 0, 0, 7, 504, 712.4, 973.8, 448.0, 213.6, 
