event_name, difficulty
Gameweek 8,2
Gameweek 9,3
Gameweek 10,4
Gameweek 11,2
Gameweek 12,2
Gameweek 13,4
Gameweek 14,4
Gameweek 15,2
Gameweek 16,2
Gameweek 17,3
Gameweek 18,2
Gameweek 19,2
Gameweek 20,4
Gameweek 21,2
Gameweek 22,4
Gameweek 23,2
Gameweek 24,4
Gameweek 25,2
Gameweek 26,4
Gameweek 27,3
Gameweek 28,3
Gameweek 29,2
Gameweek 30,2
Gameweek 31,2
Gameweek 32,4
Gameweek 33,2
Gameweek 34,2
Gameweek 35,3
Gameweek 36,4
Gameweek 37,2
Gameweek 38,5
