element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out
392, 8, 11, 0, True, 2019-08-10T11:30:00Z, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, 0, 11742, 0, 0, 
392, 13, 4, 1, False, 2019-08-17T14:00:00Z, 1, 1, 2, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.4, 1.3, 0.0, 0.2, 60, -2195, 10857, 378, 2573, 
392, 29, 18, 1, False, 2019-08-24T14:00:00Z, 1, 3, 3, 54, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 12.2, 22.8, 13.0, 4.8, 59, -1715, 9526, 288, 2003, 
392, 40, 14, 8, True, 2019-08-31T14:00:00Z, 2, 0, 4, 70, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 22, 33.4, 24.3, 35.0, 9.3, 59, -302, 9672, 1058, 1360, 
392, 41, 2, 3, False, 2019-09-16T19:00:00Z, 0, 0, 5, 61, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2.0, 12.8, 21.0, 3.6, 59, 8215, 19489, 10828, 2613, 
392, 60, 12, 11, True, 2019-09-22T13:00:00Z, 2, 0, 6, 88, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 31, 47.2, 14.8, 47.0, 10.9, 59, 739, 20250, 3223, 2484, 
392, 62, 3, 9, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 37, 44.4, 29.3, 27.0, 10.1, 59, 65919, 93503, 72678, 6759, 
392, 80, 7, 1, True, 2019-10-05T16:30:00Z, 1, 2, 8, 77, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 10, 5.4, 18.6, 2.0, 2.6, 60, 299400, 412689, 309371, 9971, 
392, 85, 8, 1, False, 2019-10-19T11:30:00Z, 2, 0, 9, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 7.6, 14.8, 11.0, 3.3, 60, 32576, 434915, 83895, 51319, 
