season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2014/15, 83543, 55, 50, 13, 335, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 38, 0.0, 0.0, 0.0, 0.0, 
2015/16, 83543, 45, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2017/18, 83543, 60, 55, 88, 2415, 3, 1, 11, 29, 0, 0, 0, 4, 1, 0, 6, 383, 404.0, 557.2, 530.0, 149.1, 
2018/19, 83543, 55, 52, 74, 1828, 2, 6, 3, 41, 0, 0, 0, 4, 1, 0, 2, 293, 389.6, 580.8, 345.0, 131.4, 
