event_name, difficulty
Gameweek 8,3
Gameweek 9,4
Gameweek 10,4
Gameweek 11,2
Gameweek 12,4
Gameweek 13,2
Gameweek 14,2
Gameweek 15,2
Gameweek 16,3
Gameweek 17,2
Gameweek 18,3
Gameweek 19,3
Gameweek 20,2
Gameweek 21,2
Gameweek 22,4
Gameweek 23,4
Gameweek 24,3
Gameweek 25,2
Gameweek 26,3
Gameweek 27,3
Gameweek 28,2
Gameweek 29,2
Gameweek 30,4
Gameweek 31,2
Gameweek 32,5
Gameweek 33,2
Gameweek 34,2
Gameweek 35,2
Gameweek 36,4
Gameweek 37,4
Gameweek 38,2
