event_name, difficulty
Gameweek 8,5
Gameweek 9,2
Gameweek 10,2
Gameweek 11,2
Gameweek 12,4
Gameweek 13,2
Gameweek 14,2
Gameweek 15,2
Gameweek 16,2
Gameweek 17,2
Gameweek 18,5
Gameweek 19,4
Gameweek 20,3
Gameweek 21,2
Gameweek 22,2
Gameweek 23,2
Gameweek 24,3
Gameweek 25,4
Gameweek 26,3
Gameweek 27,4
Gameweek 28,3
Gameweek 29,2
Gameweek 30,2
Gameweek 31,2
Gameweek 32,4
Gameweek 33,2
Gameweek 34,4
Gameweek 35,3
Gameweek 36,2
Gameweek 37,4
Gameweek 38,4
