season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2017/18, 42748, 45, 44, 63, 2237, 0, 0, 6, 36, 1, 0, 0, 2, 0, 0, 5, 369, 346.2, 154.6, 18.0, 52.1, 
2018/19, 42748, 45, 44, 48, 1805, 0, 0, 5, 34, 0, 0, 0, 0, 0, 0, 0, 254, 220.0, 153.3, 8.0, 38.0, 
