element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out
83, 3, 16, 6, True, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 27, 21.2, 0.1, 2.0, 2.3, 50, 0, 47250, 0, 0, 
83, 11, 1, 1, False, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 21.6, 20.6, 31.0, 7.3, 50, -1351, 52788, 2351, 3702, 
83, 30, 20, 2, False, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 19.4, 0.2, 4.0, 2.4, 50, -1628, 53156, 2770, 4398, 
83, 32, 10, 1, True, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 23.6, 0.3, 0.0, 2.4, 50, -960, 53936, 3546, 4506, 
83, 43, 4, 2, False, 2019-09-14T14:00:00Z, 1, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 11.2, 0.1, 0.0, 1.1, 50, 4305, 60452, 8816, 4511, 
83, 52, 14, 6, True, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 22, 17.2, 0.3, 0.0, 1.8, 50, -310, 60526, 2860, 3170, 
83, 61, 2, 1, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 19.8, 0.0, 7.0, 2.7, 50, 4538, 66556, 7551, 3013, 
83, 73, 8, 6, True, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 28.2, 10.3, 6.0, 4.5, 50, -886, 65938, 2836, 3722, 
83, 86, 9, 1, False, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 19.2, 0.4, 19.0, 3.9, 50, 381, 67164, 3137, 2756, 
