season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2016/17, 177815, 45, 45, 17, 347, 1, 0, 0, 7, 0, 0, 0, 1, 0, 0, 1, 46, 53.2, 10.0, 82.0, 14.1, 
2017/18, 177815, 50, 49, 88, 1871, 4, 8, 6, 28, 0, 0, 0, 4, 0, 0, 3, 255, 354.0, 322.6, 630.0, 130.2, 
2018/19, 177815, 55, 54, 92, 1769, 6, 5, 8, 26, 0, 0, 0, 3, 0, 0, 3, 267, 321.8, 185.7, 618.0, 111.5, 
