season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 37915, 60, 58, 141, 3330, 0, 0, 14, 50, 0, 1, 0, 2, 0, 103, 5, 177, 0.0, 0.0, 0.0, 0.0, 
2014/15, 37915, 55, 54, 121, 3063, 0, 0, 8, 48, 0, 1, 0, 0, 0, 107, 6, 535, 0.0, 0.0, 0.0, 0.0, 
2015/16, 37915, 50, 54, 140, 3330, 0, 0, 13, 34, 0, 0, 0, 0, 0, 88, 4, 664, 0.0, 0.0, 0.0, 0.0, 
2016/17, 37915, 55, 55, 143, 3004, 0, 0, 15, 24, 0, 0, 0, 0, 0, 78, 6, 665, 664.6, 20.0, 2.0, 68.7, 
2017/18, 37915, 55, 55, 144, 3240, 0, 0, 15, 35, 0, 0, 0, 1, 0, 87, 6, 694, 726.4, 0.1, 0.0, 72.3, 
2018/19, 37915, 55, 54, 145, 2970, 0, 0, 12, 33, 0, 2, 0, 0, 0, 100, 10, 691, 858.2, 0.0, 0.0, 86.0, 
