season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2017/18, 200641, 50, 47, 5, 144, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 12.0, 29.7, 11.0, 5.3, 
2018/19, 200641, 45, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
