season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2017/18, 74471, 55, 52, 113, 3066, 4, 3, 10, 52, 0, 0, 0, 4, 0, 0, 8, 576, 753.2, 848.8, 350.0, 195.2, 
2018/19, 74471, 55, 50, 76, 2326, 3, 1, 3, 48, 0, 0, 0, 4, 0, 0, 5, 411, 510.8, 725.2, 359.0, 159.7, 
