season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 60706, 45, 44, 83, 1800, 0, 0, 6, 27, 0, 0, 0, 2, 0, 87, 6, 97, 0.0, 0.0, 0.0, 0.0, 
2014/15, 60706, 50, 52, 142, 3390, 0, 0, 9, 47, 0, 3, 0, 3, 1, 129, 6, 587, 0.0, 0.0, 0.0, 0.0, 
2015/16, 60706, 50, 51, 125, 2880, 0, 0, 9, 39, 0, 2, 0, 1, 1, 101, 9, 609, 0.0, 0.0, 0.0, 0.0, 
2016/17, 60706, 50, 46, 64, 1440, 0, 0, 6, 25, 0, 0, 0, 1, 0, 53, 6, 311, 367.8, 10.0, 0.0, 37.7, 
2017/18, 60706, 45, 40, 72, 1710, 0, 0, 6, 29, 0, 0, 0, 2, 0, 69, 5, 374, 470.4, 0.0, 0.0, 47.0, 
2018/19, 60706, 45, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
