season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2016/17, 178304, 55, 51, 14, 270, 0, 1, 1, 4, 1, 0, 0, 0, 0, 0, 0, 22, 27.8, 39.6, 109.0, 16.1, 
2017/18, 178304, 50, 49, 36, 581, 2, 0, 1, 16, 0, 0, 0, 1, 0, 0, 3, 106, 120.4, 69.5, 252.0, 43.9, 
2018/19, 178304, 50, 49, 28, 350, 1, 0, 0, 15, 0, 0, 0, 1, 0, 0, 0, 74, 74.6, 65.1, 201.0, 33.8, 
