event_name, difficulty
Gameweek 8,4
Gameweek 9,3
Gameweek 10,3
Gameweek 11,5
Gameweek 12,2
Gameweek 13,4
Gameweek 14,2
Gameweek 15,2
Gameweek 16,2
Gameweek 17,3
Gameweek 18,2
Gameweek 19,4
Gameweek 20,2
Gameweek 21,4
Gameweek 22,3
Gameweek 23,2
Gameweek 24,2
Gameweek 25,5
Gameweek 26,2
Gameweek 27,2
Gameweek 28,3
Gameweek 29,2
Gameweek 30,3
Gameweek 31,4
Gameweek 32,2
Gameweek 33,4
Gameweek 34,4
Gameweek 35,4
Gameweek 36,2
Gameweek 37,3
Gameweek 38,2
