season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 88900, 40, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2014/15, 88900, 40, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2016/17, 88900, 40, 42, 60, 1471, 0, 1, 6, 24, 0, 0, 0, 1, 0, 0, 10, 341, 350.4, 58.2, 58.0, 46.6, 
2017/18, 88900, 50, 45, 58, 1980, 2, 0, 5, 33, 0, 0, 0, 6, 1, 0, 2, 360, 506.6, 68.3, 224.0, 79.9, 
2018/19, 88900, 45, 42, 47, 1697, 1, 0, 3, 35, 0, 0, 0, 4, 0, 0, 4, 282, 394.4, 65.5, 143.0, 60.4, 
