season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2015/16, 194164, 40, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2016/17, 194164, 45, 41, 54, 1372, 0, 1, 5, 18, 0, 0, 0, 2, 0, 0, 5, 303, 286.8, 152.2, 83.0, 52.3, 
2017/18, 194164, 45, 40, 37, 1183, 0, 0, 4, 14, 0, 0, 0, 3, 0, 0, 0, 214, 285.8, 93.9, 105.0, 48.5, 
2018/19, 194164, 45, 43, 5, 407, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 61, 92.2, 5.0, 2.0, 9.9, 
