element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out
455, 6, 17, 1, False, 2019-08-10T16:30:00Z, 3, 1, 1, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 12, 27.8, 0.0, 0.0, 2.8, 45, 0, 6280, 0, 0, 
455, 12, 3, 1, True, 2019-08-17T14:00:00Z, 1, 2, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 14.2, 0.6, 9.0, 2.4, 45, 53, 8133, 656, 603, 
455, 21, 8, 9, True, 2019-08-23T19:00:00Z, 2, 0, 3, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 28, 28.4, 0.3, 2.0, 3.1, 45, -328, 8311, 378, 706, 
455, 34, 7, 2, False, 2019-08-31T14:00:00Z, 1, 0, 4, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 17, 19.0, 0.9, 0.0, 2.0, 45, 16057, 29719, 20898, 4841, 
455, 41, 19, 7, True, 2019-09-16T19:00:00Z, 0, 0, 5, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 26, 18.0, 0.7, 0.0, 1.9, 45, 3063, 33108, 6666, 3603, 
455, 51, 1, 0, False, 2019-09-22T15:30:00Z, 3, 2, 6, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 3, 12.0, 0.3, 0.0, 1.2, 45, 26811, 65772, 33309, 6498, 
455, 61, 5, 1, True, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 13, 8.2, 0.4, 0.0, 0.9, 45, 9794, 77235, 18181, 8387, 
455, 77, 14, 6, False, 2019-10-05T14:00:00Z, 1, 5, 8, 74, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 23, 20.2, 0.3, 4.0, 2.5, 45, -4881, 71533, 1531, 6412, 
455, 81, 4, 2, True, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 15.0, 1.5, 4.0, 2.1, 45, -2391, 70049, 3287, 5678, 
