season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2014/15, 109528, 50, 44, 22, 759, 0, 0, 2, 11, 0, 0, 0, 3, 0, 0, 1, 116, 0.0, 0.0, 0.0, 0.0, 
2015/16, 109528, 45, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2016/17, 109528, 45, 43, 38, 1430, 1, 0, 2, 28, 0, 0, 0, 2, 0, 0, 0, 210, 242.2, 98.7, 66.0, 40.8, 
2017/18, 109528, 45, 42, 49, 1757, 0, 1, 4, 31, 0, 0, 0, 2, 0, 0, 1, 247, 266.0, 164.8, 26.0, 45.9, 
2018/19, 109528, 45, 43, 53, 1098, 0, 3, 4, 16, 0, 0, 0, 2, 0, 0, 5, 231, 231.0, 127.3, 28.0, 38.8, 
