season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 118748, 65, 55, 31, 501, 2, 1, 2, 2, 0, 0, 0, 1, 0, 0, 3, 25, 0.0, 0.0, 0.0, 0.0, 
2014/15, 118748, 65, 60, 3, 33, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 5, 0.0, 0.0, 0.0, 0.0, 
2017/18, 118748, 90, 106, 303, 2905, 32, 12, 15, 29, 0, 0, 1, 1, 0, 0, 26, 881, 1496.2, 942.5, 2109.0, 454.4, 
2018/19, 118748, 130, 132, 259, 3254, 22, 12, 21, 20, 0, 0, 0, 1, 0, 0, 18, 687, 1186.8, 973.9, 2168.0, 432.7, 
