event_name, difficulty
Gameweek 8,2
Gameweek 9,2
Gameweek 10,5
Gameweek 11,4
Gameweek 12,2
Gameweek 13,3
Gameweek 14,2
Gameweek 15,4
Gameweek 16,2
Gameweek 17,3
Gameweek 18,4
Gameweek 19,2
Gameweek 20,3
Gameweek 21,2
Gameweek 22,4
Gameweek 23,2
Gameweek 24,2
Gameweek 25,4
Gameweek 26,2
Gameweek 27,4
Gameweek 28,2
Gameweek 29,2
Gameweek 30,4
Gameweek 31,3
Gameweek 32,2
Gameweek 33,2
Gameweek 34,3
Gameweek 35,4
Gameweek 36,2
Gameweek 37,3
Gameweek 38,2
