event_name, difficulty
Gameweek 8,4
Gameweek 9,2
Gameweek 10,2
Gameweek 11,2
Gameweek 12,4
Gameweek 13,3
Gameweek 14,5
Gameweek 15,4
Gameweek 16,2
Gameweek 17,2
Gameweek 18,2
Gameweek 19,4
Gameweek 20,2
Gameweek 21,4
Gameweek 22,4
Gameweek 23,2
Gameweek 24,3
Gameweek 25,3
Gameweek 26,2
Gameweek 27,2
Gameweek 28,2
Gameweek 29,3
Gameweek 30,4
Gameweek 31,3
Gameweek 32,4
Gameweek 33,3
Gameweek 34,4
Gameweek 35,4
Gameweek 36,2
Gameweek 37,2
Gameweek 38,2
