season_name, element_code, start_cost, end_cost, total_points, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
2013/14, 18656, 45, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
2015/16, 18656, 45, 51, 157, 3396, 0, 0, 11, 49, 0, 3, 0, 4, 0, 123, 14, 756, 0.0, 0.0, 0.0, 0.0, 
2016/17, 18656, 50, 49, 113, 3337, 0, 0, 7, 64, 1, 1, 0, 1, 0, 117, 6, 681, 834.4, 10.0, 0.0, 84.4, 
2017/18, 18656, 45, 44, 64, 2128, 0, 0, 5, 40, 0, 0, 0, 0, 0, 61, 4, 394, 457.0, 0.2, 0.0, 45.6, 
2018/19, 18656, 45, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
